DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Jun-25,EQ,"1,066.00","1,070.00","1,033.30","1,060.50","1,049.00","1,046.80","1,053.72","2,091.00",758,2515373,"2,65,05,08,693.60",61952
10-Jun-25,EQ,"1,039.70","1,077.00","1,034.70","1,034.30","1,059.90","1,060.50","1,057.66","2,091.00",758,5441911,"5,75,57,02,576.10",107060
09-Jun-25,EQ,"1,024.20","1,044.40","1,020.00","1,018.80","1,034.00","1,034.30","1,032.84","2,091.00",758,3700815,"3,82,23,63,982.00",69610
06-Jun-25,EQ,"1,008.00","1,024.20","1,004.80","1,003.60","1,017.50","1,018.80","1,016.31","2,174.10",758,2617425,"2,66,01,25,984.40",70730
05-Jun-25,EQ,"1,006.00","1,019.00","1,002.00","1,004.80","1,004.00","1,003.60","1,010.73","2,174.10",758,1454736,"1,47,03,50,100.60",39991
04-Jun-25,EQ,997.5,"1,009.00",983.7,992.6,"1,005.90","1,004.80",998.34,"2,174.10",758,1700483,"1,69,76,57,838.90",45292
03-Jun-25,EQ,"1,009.10","1,018.00",988,"1,009.10",992.5,992.6,"1,001.14","2,174.10",758,2438866,"2,44,16,40,109.10",63771
02-Jun-25,EQ,"1,018.50","1,024.70","1,007.00","1,014.35","1,009.50","1,009.10","1,015.58","2,174.10",758,2230527,"2,26,52,80,426.20",57649
30-May-25,EQ,"1,019.50","1,028.00","1,004.20","1,019.05","1,016.00","1,014.35","1,015.72","2,174.10",758,1669801,"1,69,60,55,030.90",36998
29-May-25,EQ,"1,009.20","1,027.00","1,000.55","1,001.85","1,019.50","1,019.05","1,014.75","2,174.10",758,2700851,"2,74,06,83,276.65",59817
28-May-25,EQ,"1,013.20","1,025.45",999.6,"1,013.00","1,001.70","1,001.85","1,011.70","2,174.10",758,2099725,"2,12,42,93,546.95",49317
27-May-25,EQ,"1,011.50","1,022.50","1,001.00","1,011.85","1,011.90","1,013.00","1,011.75","2,174.10",758,1740741,"1,76,11,89,946.70",44935
26-May-25,EQ,997,"1,021.40",993.3,986.95,"1,011.05","1,011.85","1,010.57","2,174.10",758,3403161,"3,43,91,20,908.30",71061
23-May-25,EQ,987,999.05,976,985.85,987.45,986.95,988.56,"2,174.10",758,2538927,"2,50,98,92,408.30",55488
22-May-25,EQ,996.1,"1,006.00",977,996.5,988.5,985.85,990.86,"2,174.10",758,2233560,"2,21,31,52,691.35",52538
21-May-25,EQ,985,"1,003.00",977.2,983.95,996.1,996.5,990.46,"2,174.10",758,2228757,"2,20,74,90,906.10",55111
20-May-25,EQ,"1,016.00","1,020.95",981.8,"1,014.00",985,983.95,"1,001.93","2,174.10",758,2713486,"2,71,87,15,578.10",67039
19-May-25,EQ,"1,031.95","1,038.35","1,010.05","1,020.10","1,014.00","1,014.00","1,023.06","2,174.10",758,3176879,"3,25,01,22,162.70",75567
16-May-25,EQ,971.45,"1,025.00",965.2,967.9,"1,024.50","1,020.10","1,003.46","2,174.10",758,7644511,"7,67,09,26,654.25",149249
15-May-25,EQ,972.1,972.8,953.4,967.25,968.5,967.9,962.45,"2,174.10",758,4951675,"4,76,57,59,180.90",56990
14-May-25,EQ,966,975,957.8,958.05,967,967.25,965.35,"2,174.10",758,3634440,"3,50,85,02,039.10",65515
13-May-25,EQ,940.55,973.7,933.2,940.55,960.4,958.05,956.87,"2,174.10",758,4260617,"4,07,68,36,037.30",89139
12-May-25,EQ,914.9,945,911.05,879.45,939.6,940.55,936.71,"2,174.10",758,6222615,"5,82,87,90,753.95",96881
09-May-25,EQ,859.4,887.85,854.35,880.5,883.9,879.45,868.12,"2,174.10",758,3051122,"2,64,87,40,946.85",82805
08-May-25,EQ,926.05,933.2,870.2,917.25,872.5,880.5,904.99,"2,174.10",758,4281975,"3,87,51,41,991.15",87862
07-May-25,EQ,901.2,929,901.1,923.25,918,917.25,918.37,"2,174.10",758,3179762,"2,92,02,03,596.10",75467
06-May-25,EQ,966,971.25,918,965.7,921.9,923.25,941.29,"2,174.10",758,4153763,"3,90,99,06,319.60",89330
05-May-25,EQ,912.7,"1,003.50",910.55,905.25,970,965.7,969.79,"2,174.10",758,13652180,"13,23,97,81,373.35",232454
02-May-25,EQ,902.05,931.95,900,900.7,905.05,905.25,915.1,"2,174.10",758,3422602,"3,13,20,27,547.75",77818
30-Apr-25,EQ,922.8,929,895,922.4,896,900.7,913.12,"2,174.10",758,3000004,"2,73,93,66,976.70",75483
29-Apr-25,EQ,960,961.9,918.9,941,921,922.4,937.68,"2,174.10",758,6040053,"5,66,36,39,599.85",114137
